Students,Gender,Age,Nationality,Subject,Score,Date,Cfu
Giorgia,F,24,Ita,Gtdmo,30,19-Dec,12
Giorgia,F,24,Ita,Econometrics,30,19-Dec,12
Giorgia,F,24,Ita,Advanced micro&macro,30,20-Mar,12
Giorgia,F,24,Ita,Coding,30,20-Mar,12
Giorgia,F,24,Ita,Machine,30,20-Jun,12
Giorgia,F,24,Ita,Cybersecurity,30,20-Jul,12
Giorgia,F,24,Ita,Algorithms,30,20-Sep,6
Giorgia,F,24,Ita,Opt1,30,20-Jan,6
Giorgia,F,24,Ita,Opt2,30,21-Jan,6
Giorgia,F,24,Ita,Opt3,30,1-Mar,6
Giorgia,F,24,Ita,Opt4,30,21-May,6
Giorgia,F,24,Ita,Opt5,30,20-Jun,6
Anna,F,25,Ita,Gtdmo,26,19-Dec,12
Anna,F,25,Ita,Econometrics,24,19-Dec,12
Anna,F,25,Ita,Advanced micro&macro,23,20-Mar,12
Anna,F,25,Ita,Coding,18,20-Mar,12
Anna,F,25,Ita,Machine,24,20-Jan,12
Anna,F,25,Ita,Cybersecurity,21,21-Jan,12
Anna,F,25,Ita,Algorithms,19,22-Jan,6
Anna,F,25,Ita,Opt1,22,23-Jan,6
Anna,F,25,Ita,Opt2,30,20-Jul,6
Anna,F,25,Ita,Opt3,24,20-Jun,6
Anna,F,25,Ita,Opt4,21,20-May,6
Anna,F,25,Ita,Opt5,24,20-Sep,6
Corrado,M,22,Ita,Gtdmo,23,19-Dec,12
Corrado,M,22,Ita,Econometrics,22,19-Dec,12
Corrado,M,22,Ita,Advanced micro&macro,26,20-Jun,12
Corrado,M,22,Ita,Coding,22,20-May,12
Corrado,M,22,Ita,Machine,20,20-Sep,12
Corrado,M,22,Ita,Cybersecurity,30,20-Dec,12
Corrado,M,22,Ita,Algorithms,29,21-Jan,6
Corrado,M,22,Ita,Opt1,23,21-Mar,6
Corrado,M,22,Ita,Opt2,25,21-Mar,6
Corrado,M,22,Ita,Opt3,30,21-Mar,6
Corrado,M,22,Ita,Opt4,21,21-Jun,6
Corrado,M,22,Ita,Opt5,25,21-Jun,6
Andrea,M,35,Ger,Gtdmo,19,20-Mar,12
Andrea,M,35,Ger,Econometrics,26,20-Mar,12
Andrea,M,35,Ger,Advanced micro&macro,29,21-Jun,12
Andrea,M,35,Ger,Coding,22,21-Jun,12
Andrea,M,35,Ger,Machine,21,21-May,12
Andrea,M,35,Ger,Cybersecurity,20,22-Jan,12
Andrea,M,35,Ger,Algorithms,20,22-Mar,6
Andrea,M,35,Ger,Opt1,22,22-Jan,6
Andrea,M,35,Ger,Opt2,26,22-Jun,6
Andrea,M,35,Ger,Opt3,29,22-Jun,6
Andrea,M,35,Ger,Opt4,22,22-Jan,6
Andrea,M,35,Ger,Opt5,26,22-Sep,6
Alejandra,F,45,Spa,Gtdmo,29,22-Mar,12
Alejandra,F,45,Spa,Econometrics,28,22-Jan,12
Alejandra,F,45,Spa,Advanced micro&macro,22,22-Jun,12
Alejandra,F,45,Spa,Coding,,22-Jun,12
Alejandra,F,45,Spa,Machine,28,22-Jan,12
Alejandra,F,45,Spa,Cybersecurity,28,22-Sep,12
Alejandra,F,45,Spa,Algorithms,20,22-Jan,6
Alejandra,F,45,Spa,Opt1,24,22-Jun,6
Alejandra,F,45,Spa,Opt2,,,6
Alejandra,F,45,Spa,Opt3,28,22-Jun,6
Alejandra,F,45,Spa,Opt4,,,6
Alejandra,F,45,Spa,Opt5,,,6
Gerolamo,M,22,Ita,Gtdmo,24,19-Dec,12
Gerolamo,M,22,Ita,Econometrics,24,19-Dec,12
Gerolamo,M,22,Ita,Advanced micro&macro,29,20-Jun,12
Gerolamo,M,22,Ita,Coding,19,20-May,12
Gerolamo,M,22,Ita,Machine,18,20-Sep,12
Gerolamo,M,22,Ita,Cybersecurity,30,20-Dec,12
Gerolamo,M,22,Ita,Algorithms,,,6
Gerolamo,M,22,Ita,Opt1,30,21-Mar,6
Gerolamo,M,22,Ita,Opt2,24,21-Mar,6
Gerolamo,M,22,Ita,Opt3,,,6
Gerolamo,M,22,Ita,Opt4,30,21-May,6
Gerolamo,M,22,Ita,Opt5,,,6
